Business Name,Business Startdate,City,State,Street Direction,Street Name,Street Number,Street Suffix,Zip,Business Class,Reason for Applying,Latitude,Longitude,Location
SERVICE ONE JANITORIAL,07/30/2002,CHATTANOOGA,TN,N,MOORE,1409,RD,37411,,1 - New Business,,,
TITTLE CONSTRUCTION & RENOVATION LLC,12/01/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
3PD INC,05/09/2009,CHATTANOOGA,TN,,ENTERPRISE PARK,6300,DR,37416,,1 - New Business,35.0678120600001,-85.1772457179999,"(35.0678120600001, -85.1772457179999)"
KANGAROO EXPRESS #3515,10/16/2003,CHATTANOOGA,TN,E,BRAINERD,8701,RD,37421-4416,,1 - New Business,,,
J & J'S DINER,04/12/2010,CHATTANOOGA,TN,,CHERRY,723,ST,37402,,1 - New Business,35.0476740450001,-85.3085323889999,"(35.0476740450001, -85.3085323889999)"
COLONY 13,,CHATTANOOGA,TN,,NORTHGATE MALL,403,DR,37415,,1 - New Business,,,
JIM MORRISON BUILDER,02/14/2001,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,HWY,37402,,1 - New Business,,,
CREATIVE CONCEPTS - AMANDA LEBLANC,04/20/2012,CHATTANOOGA,TN,,PERIMETER,6231,DR,37412,,1 - New Business,35.029933473,-85.184089141,"(35.029933473, -85.184089141)"
LE NAILS,07/01/2012,CHATTANOOGA,TN,,TENNESSEE,3800,AVE,37409,,1 - New Business,35.0092315260001,-85.326611062,"(35.0092315260001, -85.326611062)"
TROPICAL EXPRESS,05/22/2014,HIXSON,TN,,GADD,602,RD,37343,,1 - New Business,35.141452842,-85.261025488,"(35.141452842, -85.261025488)"
DISCOUNT LIQUOR,09/01/2012,CHATTANOOGA,TN,,LEE,7703,HWY,37421,,1 - New Business,35.0614061730001,-85.134157192,"(35.0614061730001, -85.134157192)"
GUY ROOFING INC,04/11/2012,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,00000,,1 - New Business,,,
TRACK 29 LLC,09/01/2011,CHATTANOOGA,TN,,MARKET,1400,ST,37408,,1 - New Business,35.0372341500001,-85.306838022,"(35.0372341500001, -85.306838022)"
WOLF CAMERA #1606,07/23/2009,CHATTANOOGA,TN,,HAMILTON PLACE,2100,BLVD,37421,,1 - New Business,35.0345349300001,-85.158710836,"(35.0345349300001, -85.158710836)"
"COBB & ASSOCIATES, INC",08/16/1984,CHATTANOOGA,TN,,MINNEKAHDA,1512,RD,37405,,1 - New Business,35.074937951,-85.286110245,"(35.074937951, -85.286110245)"
AUTOCRAFT RESTYLING,01/01/2006,CHATTANOOGA,TN,,EAST BRAINERD,8029,RD,37421,,1 - New Business,,,
RNH PROFESSIONAL PAINTING,10/01/2011,CHATTANOOGA,TN,,DEERFOOT,3822,DR,37406,,1 - New Business,35.0713419480001,-85.21133983,"(35.0713419480001, -85.21133983)"
CHATTANOOGA TANK WASH LLC,09/01/2008,CHATTANOOGA,TN,,PINEVILLE,901,RD,37405,,1 - New Business,35.068204585,-85.330784864,"(35.068204585, -85.330784864)"
C & D RECYCLE,06/01/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,37402,,1 - New Business,,,
TN GROCERY VALET,01/01/2015,CHATTANOOGA,TN,,CAMERON,5008,LN,37411,,1 - New Business,,,
REAL ESTATE INFORMATION SERV,01/01/1994,CHATTANOOGA,TN,,AMNICOLA,2963,HWY,37406,,1 - New Business,35.0783831750001,-85.266673704,"(35.0783831750001, -85.266673704)"
KORS,12/10/2014,CHATTANOOGA,TN,,BRAINERD,5948,RD,37421,,1 - New Business,35.0161012080001,-85.207563943,"(35.0161012080001, -85.207563943)"
CRABTREE JEWELERS,06/01/2001,CHATTANOOGA,TN,,TARPON,4610,TRL,37416,,1 - New Business,35.0915387900001,-85.198990798,"(35.0915387900001, -85.198990798)"
LE PARK NAIL SPA,04/01/2005,CHATTANOOGA,TN,,RIVER,135,ST,37405,,1 - New Business,,,
1-800-VEHICLES.COM CHATTANOOGA,04/30/2012,CHATTANOOGA,TN,,GUNBARREL,2288,RD,37421,,1 - New Business,35.0366813150001,-85.1501846899999,"(35.0366813150001, -85.1501846899999)"
CAKE GALLERY,05/01/2005,CHATTANOOGA,TN,,CHEROKEE,23,BLVD,37405,,1 - New Business,35.063515352,-85.309615491,"(35.063515352, -85.309615491)"
FAST FOOD & FUEL #3534,06/23/2006,CHATTANOOGA,TN,W,20TH,100,ST,37408-2524,,1 - New Business,,,
GWOPP SQUAD,04/25/2013,CHATTANOOGA,TN,,LONG,2712,ST,37408,,1 - New Business,35.023844147,-85.31497107,"(35.023844147, -85.31497107)"
MCCRAY MILLWORK & LUMBER CO,08/01/2013,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
SUMMER SETT REALTY,10/26/2007,CHATTANOOGA,TN,E,MAIN,2311,ST,37404,,1 - New Business,,,
SCENIC CITY SUBWAY #3011,10/14/1987,HIXSON,TN,,HWY 153,5251,,37343,,1 - New Business,35.1258932110001,-85.241359439,"(35.1258932110001, -85.241359439)"
BLIMPIE,02/01/2002,CHATTANOOGA,TN,,TENNESSEE,3801,AVE,37409,,1 - New Business,,,
MCDONALDS RESTAURANT,02/25/2004,CHATTANOOGA,TN,,LEE,6220,HWY,37421,,1 - New Business,35.030295316,-85.184655946,"(35.030295316, -85.184655946)"
GAME ON CHATTANOOGA,03/07/2013,CHATTANOOGA,TN,,LEE,7510,HWY,37421,,1 - New Business,35.057089972,-85.139169131,"(35.057089972, -85.139169131)"
MARKET PLACE HOLDING INC,04/10/2010,CHATTANOOGA,TN,,CHEROKEE,620,BLVD,37405,,1 - New Business,35.069328141,-85.318201565,"(35.069328141, -85.318201565)"
SWEETLY SOUTHERN,11/03/1989,CHATTANOOGA,TN,,MARKET,1400,ST,37408,,1 - New Business,35.0372341500001,-85.306838022,"(35.0372341500001, -85.306838022)"
UNIQUE GIFTS & DESIGNS,09/13/2010,CHATTANOOGA,TN,,HERITAGE PARK,6111,DR,37416,,1 - New Business,35.0729814800001,-85.186454816,"(35.0729814800001, -85.186454816)"
WILL FIX BONDING,12/17/2010,CHATTANOOGA,TN,,WALNUT,615,ST,37402,,1 - New Business,35.0488763180001,-85.307567932,"(35.0488763180001, -85.307567932)"
LIZ POWER PHOTOGRAPHY,02/04/1994,CHATTANOOGA,TN,,VALLEY,3537,TRL,37415,,1 - New Business,35.1219508990001,-85.3111094829999,"(35.1219508990001, -85.3111094829999)"
SPECIALITY BROKERAGE,06/01/2006,CHATTANOOGA,TN,,10TH,3100,AVE,37407,,1 - New Business,35.0058614390001,-85.279863505,"(35.0058614390001, -85.279863505)"
TOUCH INFORMATION INC,07/25/1984,CHATTANOOGA,TN,,MCCALLIE,871,AVE,37403,,1 - New Business,35.042843186,-85.292682176,"(35.042843186, -85.292682176)"
TRUCK 'N TRAILERS USA INC,09/08/1992,CHATTANOOGA,TN,N,ACCESS,4591,RD,37415,,1 - New Business,,,
SUPERIOR CATERING SERVICE,,CHATTANOOGA,TN,S,HIGHLAND PARK,2103,AVE,37404,,1 - New Business,,,
PREMIER SPA SALON,11/02/2005,CHATTANOOGA,TN,,LEE,6610,HWY,37421,,1 - New Business,,,
MAGIC ALTERATIONS,02/01/2000,CHATTANOOGA,TN,E,BRAINERD,7550,RD,37411,,1 - New Business,,,
CHARLEY'S GRILLED SUBS,10/01/2012,CHATTANOOGA,TN,,HAMILTON PLACE,2100,BLVD,37421,,1 - New Business,35.0345349300001,-85.158710836,"(35.0345349300001, -85.158710836)"
CORDELL LAWN SERVICE ETC,03/06/2013,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,00000,,1 - New Business,,,
INDEPENDENT GLASS CO,,CHATTANOOGA,TN,,PEEPLES,1113,ST,37403,,1 - New Business,35.0393338550001,-85.300187374,"(35.0393338550001, -85.300187374)"
"HERTZ CORPORATION, THE",05/01/1984,CHATTANOOGA,TN,,AIRPORT,1101,RD,37421,,1 - New Business,35.034496754,-85.1947606259999,"(35.034496754, -85.1947606259999)"
COOKIE COW,04/01/2015,CHATTANOOGA,TN,,FALMOUTH,1349,RD,37405,,1 - New Business,35.072271147,-85.287882764,"(35.072271147, -85.287882764)"
RAY GORRELL HOME CONSTRUCTION,03/28/2012,CHATTANOOGA,TN,,RIVER CANYON,21726,RD,37405,,1 - New Business,,,
SPORTS STOP,04/10/2004,CHATTANOOGA,TN,,NORTHGATE MALL,218,,37415,,1 - New Business,35.130166908,-85.240165525,"(35.130166908, -85.240165525)"
HAIR JUNKIE/JESSICA CURTIS,07/25/2005,CHATTANOOGA,TN,,LEE,7155,HWY,37421,,1 - New Business,35.049807973,-85.155482916,"(35.049807973, -85.155482916)"
MOM & POP'S OLD FASHION LEMONADE,04/15/2006,CHATTANOOGA,TN,,VARIOUS LOCATIONS,99,,37402,,1 - New Business,,,
TRIAD ISTOPES-CHATTANOOGA,08/06/2007,CHATTANOOGA,TN,,MCCALLIE,2113,AVE,37404,,1 - New Business,35.0349101140001,-85.2712473289999,"(35.0349101140001, -85.2712473289999)"
VMO GRAPHICS INC,06/02/1997,CHATTANOOGA,TN,,CREEKSIDE,903,RD,37406,,1 - New Business,35.0920379130001,-85.254604404,"(35.0920379130001, -85.254604404)"
QUINCO KITCHENS INC,,CHATTANOOGA,TN,,DODDS,3709,AVE,37407-2231,,1 - New Business,34.99843788,-85.282995623,"(34.99843788, -85.282995623)"
DOMINO'S PIZZA #5479,12/17/2007,CHATTANOOGA,TN,,HIXSON,1150,PIKE,37405,,1 - New Business,,,
BIVIN KEN CONTRACTING,10/11/1995,CHATTANOOGA,TN,,ISLAND,102,AVE,37405,,1 - New Business,35.0608585570001,-85.297707297,"(35.0608585570001, -85.297707297)"
KENNEY & ASSOCIATES,12/02/2013,CHATTANOOGA,TN,,HIGHLAND,3814,AVE,37410,,1 - New Business,35.0060270170001,-85.314103261,"(35.0060270170001, -85.314103261)"
4D PAPA,10/30/2015,CHATTANOOGA,TN,,B MANSION,701,CIR,37405,,1 - New Business,,,
TRI-STATE SECURITY OF AMERICA,04/30/2012,CHATTANOOGA,TN,,LEE PARKWAY,105,DR,37421,,1 - New Business,35.0462009400001,-85.162714227,"(35.0462009400001, -85.162714227)"
DANG JEWELRY,03/23/2010,HIXSON,TN,,TROTTER,905,LN,37343,,1 - New Business,35.1490070890001,-85.253199668,"(35.1490070890001, -85.253199668)"
THE PRESTIGE GROUP,12/09/2015,CHATTANOOGA,TN,,BRAINERD,5916,RD,37421,,1 - New Business,35.0153797930001,-85.208932475,"(35.0153797930001, -85.208932475)"
"BURELL BUILT, LLC",03/15/2012,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
LIVE TO INSPIRE PRODUCTIONS,03/31/2015,CHATTANOOGA,TN,,BASSWOOD,4839,DR,37416,,1 - New Business,35.0859178810001,-85.167902151,"(35.0859178810001, -85.167902151)"
NANA826 LLC,04/01/2014,HARRISON,TN,,HWY 58,5940,,37341,,1 - New Business,35.114434526,-85.129421798,"(35.114434526, -85.129421798)"
J B HUNT TRANSPORT INC,10/05/2009,CHATTANOOGA,TN,,ENTERPRISE PARK,6170,DR,37416,,1 - New Business,35.069608633,-85.182282581,"(35.069608633, -85.182282581)"
A.N.T.T RECYCLE CENTER,04/15/2012,CHATTANOOGA,TN,,VANCE,0,AVE,37404,,1 - New Business,,,
SANTA FE MASONRY INC,07/01/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
LARRY'S HEATING & AIR CONDITIONING INC,09/01/2009,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
"WILLIAM HEDGECOTH CONSTRUCTION, LLC",12/05/2013,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
WILLIAM H FRYAR INC,02/01/2012,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,37402,,1 - New Business,,,
"LIVE TO INSPIRE PRODUCTION, LLC",03/24/2014,CHATTANOOGA,TN,,BASSWOOD,4839,DR,37416,,1 - New Business,35.0859178810001,-85.167902151,"(35.0859178810001, -85.167902151)"
JADA PROPERTIES LLC,01/01/2015,CHATTANOOGA,TN,,HICKORY MEADOW,6585,DR,37421,,1 - New Business,35.0523794200001,-85.167838747,"(35.0523794200001, -85.167838747)"
BOOST MOBILE BY JONES CELLULAR #1,07/21/2015,CHATTANOOGA,TN,,DODSON,3005,AVE,37406,,1 - New Business,35.0721957420001,-85.250386288,"(35.0721957420001, -85.250386288)"
RIDGELINE MEDICAL INC,05/01/2014,CHATTANOOGA,TN,,SISKIN PLAZA,1,,37403,,1 - New Business,,,
REPUBLIC PARKING-ERLANGER MD #92 & 96,01/15/1986,CHATTANOOGA,TN,E,3RD,975,ST,37403-2147,,1 - New Business,,,
C & V CONSTRUCTION,11/06/2013,CHATTANOOGA,TN,,BUNCH,5891,ST,37421,,1 - New Business,35.0425624920001,-85.191048924,"(35.0425624920001, -85.191048924)"
ELEMENT PROPERTY SERVICES LLC,01/07/2013,CHATTANOOGA,TN,,AVALON,2580,CIR,37415,,1 - New Business,35.0890735260001,-85.2939436629999,"(35.0890735260001, -85.2939436629999)"
SMITH APPAREL LLC,09/16/2010,CHATTANOOGA,TN,,ST ELMO,3914,AVE,37409,,1 - New Business,35.0101534020001,-85.328237121,"(35.0101534020001, -85.328237121)"
CHATTANOOGA TRAFFIC LLC,08/01/2007,CHATTANOOGA,TN,,CARTER,1305,ST,37402,,1 - New Business,35.0406557760001,-85.314924731,"(35.0406557760001, -85.314924731)"
HICKORY FARMS #17304,11/02/1999,CHATTANOOGA,TN,,NORTHGATE MALL,271,DR,37415,,1 - New Business,35.130373402,-85.239254084,"(35.130373402, -85.239254084)"
POTTER CONSTRUCTION SERVICES,09/01/2015,CHATTANOOGA,TN,,VARIOUS LOCATIONS,,,37402,,1 - New Business,,,
MANY TRAVEL DESTINATIONS-MTD,06/18/2009,CHATTANOOGA,TN,,JULIE,6611,LN,37421,,1 - New Business,35.046980198,-85.171298012,"(35.046980198, -85.171298012)"
SUMMERS SPECIALTIES,10/01/2008,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
URTOUCH MANAGEMENT LLC,02/01/2016,CHATTANOOGA,TN,,CANTERBURY,1010,ROAD,37421,,1 - New Business,,,
ABG CAULKING CONTRACTORS INC,02/23/2000,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,37402,,1 - New Business,,,
JWH BUILDERS LLC,01/21/2010,CHATTANOOGA,TN,,BARTON,617,AVE,37405,,1 - New Business,35.065675863,-85.293920634,"(35.065675863, -85.293920634)"
CONCEPT SUPPLY CONCEPT SPECIALITIES,10/18/2004,CHATTANOOGA,TN,,FISK,5857,AVE,37421-6503,,1 - New Business,35.0395376380001,-85.193146773,"(35.0395376380001, -85.193146773)"
GRIFFCO COMPANY,10/06/2008,CHATTANOOGA,TN,,IGOU GAP,8833,RD,37421,,1 - New Business,,,
ELEMENTAL HOME CONCEPTS,03/17/2014,CHATTANOOGA,TN,N,HAWTHORNE,3500,ST,37406,,1 - New Business,,,
ROBERSON SERVICES,05/01/2012,CHATTANOOGA,TN,,GREENVIEW,4909,DR,37411,,1 - New Business,35.021694014,-85.221969201,"(35.021694014, -85.221969201)"
GENERAL DYNAMICS INFORMATION,11/10/2003,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
"BLUESTREAM PROFESSIONAL SERVICES, LLC",04/30/2012,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
LOOKOUT PEST CONTROL INC,10/01/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
S S WHOLESALE SUPPLY CO INC,04/15/2009,HIXSON,TN,,ADAMS,4744,RD,37343-4006,,1 - New Business,35.1315879200001,-85.2335175859999,"(35.1315879200001, -85.2335175859999)"
JOHN MCKINNEY HANDYMAN SERVICES,02/12/2001,CHATTANOOGA,TN,,LINDSAY,733,AVE,37402,,1 - New Business,34.9938453090001,-85.152391231,"(34.9938453090001, -85.152391231)"
MECHANICAL & ELECTRICAL GROUP LLC,06/01/2012,CHATTANOOGA,TN,,CHEROKEE,701,BLVD,37405,,1 - New Business,35.0700665890001,-85.3181584439999,"(35.0700665890001, -85.3181584439999)"
CHATTANOOGA CABINETS AND TILE,10/29/2013,CHATTANOOGA,TN,,BONNY OAKS,6414,DR,37416,,1 - New Business,35.0743080120001,-85.1677557419999,"(35.0743080120001, -85.1677557419999)"
CHOO CHOO FLY & TACKLE,04/25/2001,CHATTANOOGA,TN,,CHEROKEE,17,BLVD,37405,,1 - New Business,35.063161974,-85.309139993,"(35.063161974, -85.309139993)"
S & S FRAMING INC,09/19/2011,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
RACEWAY #6846,04/01/2012,HIXSON,TN,,HIXSON,5455,PIKE,37343,,1 - New Business,35.1436014670001,-85.228396075,"(35.1436014670001, -85.228396075)"
BRIDGES RESOURCE INC,06/01/1998,CHATTANOOGA,TN,,LAKESHORE LN UNIT 106,4274,,37415,,1 - New Business,35.10946288,-85.2104926,"(35.10946288, -85.2104926)"
ALLIED MECHANICAL CONSTRUCTORS,10/01/2001,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
EROSION CONTROL SPECIALISTS LLC,07/01/2011,CHATTANOOGA,TN,,STUART,1415,ST,37406,,1 - New Business,35.0756725030001,-85.259752245,"(35.0756725030001, -85.259752245)"
LANE BRYANT LLC #4719,08/29/2008,CHATTANOOGA,TN,,HAMILTON PLACE,2040,BLVD,37421,,1 - New Business,35.030974057,-85.1606386729999,"(35.030974057, -85.1606386729999)"
SOUTHERN CARPET BROKERS,04/01/1984,HIXSON,TN,,NORTHSHORE,5800,DR,37343,,1 - New Business,35.1143629650001,-85.211969177,"(35.1143629650001, -85.211969177)"
GRIFFCO DESIGN/ BUILD INC,07/24/2013,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,00000,,1 - New Business,,,
CROXALL CONSTRUCTION COMPANY,04/01/2009,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
BARRETT CONSTRUCTION,10/01/2011,OOLTEWAH,TN,,BARRETT,3901,LN,37363,,1 - New Business,,,
BEDCHOKS INC,01/27/2011,CHATTANOOGA,TN,,MARIJON,1431,DR,37421,,1 - New Business,35.0234019160001,-85.181741052,"(35.0234019160001, -85.181741052)"
CARING SENIOR SVCS OF CHATTANOOGA,10/19/2015,CHATTANOOGA,TN,,CHEROKEE,100,BLVD,37405,,1 - New Business,35.0635977600001,-85.3112527169999,"(35.0635977600001, -85.3112527169999)"
ATKINS & GERMAN PROPERTIES,,CHATTANOOGA,TN,,SKYLINE,1701,DR,37421,,1 - New Business,35.022703737,-85.1671101049999,"(35.022703737, -85.1671101049999)"
FOAMETIX OF CHATTANOOGA,12/22/2010,CHATTANOOGA,TN,,7TH,4311,AVE,37407,,1 - New Business,34.9930828400001,-85.2894037149999,"(34.9930828400001, -85.2894037149999)"
RE COLLINS CONSULTING,07/11/2012,HIXSON,TN,,FAIRVIEW,6159,RD,37343,,1 - New Business,35.1242154440001,-85.209232228,"(35.1242154440001, -85.209232228)"
ROBBINS & BOHR LLC,10/01/2005,CHATTANOOGA,TN,,HUDSON,420,RD,37405,,1 - New Business,35.07404561,-85.330593673,"(35.07404561, -85.330593673)"
SANI-CARE HYGIENE SERVICES,01/07/2010,CHATTANOOGA,TN,,ROANOKE,2713,AVE,37406,,1 - New Business,35.070366699,-85.254759723,"(35.070366699, -85.254759723)"
"PRUETT ELECTRIC SERVICES, LLC",09/05/2014,CHATTANOOGA,TN,N,HOLTZCLAW,801,AVE,37404,,1 - New Business,,,
LOOKOUT PLACE CAFE,08/24/2009,CHATTANOOGA,TN,,MARKET,1101,ST,37402,,1 - New Business,35.04320059,-85.309702492,"(35.04320059, -85.309702492)"
KNETWIT INCORPORATED,05/05/2008,CHATTANOOGA,TN,,CARTER,1604,ST,37402,,1 - New Business,,,
CG PAINTING,05/28/2015,CHATTANOOGA,TN,,JOINER,1331,RD,37421,,1 - New Business,35.0130487660001,-85.1620705079999,"(35.0130487660001, -85.1620705079999)"
ADVENTURE GUILD LLC THE,01/01/2005,DUNLAP,TN,,HIGH POINT,888,DR,37327,,1 - New Business,,,
WADDELL ACQUISTION,04/01/2012,GREENVILLE,SC,,BUNCOMBE,1303,RD,29609,,1 - New Business,,,
RENT-A-CENTER #06084,09/21/2011,CHATTANOOGA,TN,,GUNBARREL,2132,RD,37421,,1 - New Business,35.0341044830001,-85.150110389,"(35.0341044830001, -85.150110389)"
HAWKINS WRECKER SERVICE,02/23/2012,CHATTANOOGA,TN,,BELLE ARBOR,2603,ST,37406,,1 - New Business,35.0728157940001,-85.266684669,"(35.0728157940001, -85.266684669)"
ALPHA OMEGA CLEANING,09/06/2012,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,37402,,1 - New Business,,,
CONSTRUCTION UNLIMITED,01/01/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,0,,37402,,1 - New Business,,,
SUTER CONSULTING GROUP,08/05/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,999,,37402,,1 - New Business,,,
HOMEWORKS CONSTRUCTION LLC,03/15/2012,CHATTANOOGA,TN,,HIGHLAND,1159,DR,37405,,1 - New Business,35.073151599,-85.290309189,"(35.073151599, -85.290309189)"
WALMART #3619,10/28/2015,CHATTANOOGA,TN,,HIXSON,3901,PIKE,37415,,1 - New Business,35.1145258390001,-85.2633603799999,"(35.1145258390001, -85.2633603799999)"
BRAINERD CLEANERS INC,,CHATTANOOGA,TN,,BRAINERD,3401,RD,37411,,1 - New Business,35.0264104610001,-85.251092725,"(35.0264104610001, -85.251092725)"
LANE BRYANT INC #4719,02/01/2014,CHATTANOOGA,TN,,HAMILTON PLACE,2040,BLVD,37421,,1 - New Business,35.030974057,-85.1606386729999,"(35.030974057, -85.1606386729999)"
CHANGE-N-GO,08/29/2013,CHATTANOOGA,TN,,OAKWOOD,4025,DR,37416,,1 - New Business,35.0902709160001,-85.190574898,"(35.0902709160001, -85.190574898)"
"PRATT & ASSOCIATES, LLC",06/06/2000,CHATTANOOGA,TN,,HAMM,179,RD,37405,,1 - New Business,35.0559820670001,-85.327785251,"(35.0559820670001, -85.327785251)"
TIGNER WRECKING COMPANY,,CHATTANOOGA,TN,,CANNON,2730,AVE,37404,,1 - New Business,35.0179644620001,-85.297367681,"(35.0179644620001, -85.297367681)"
DESIRAE DANIELLE,04/15/2014,CHATTANOOGA,TN,,MANSION,723,CIR,37405,,1 - New Business,35.0814264470001,-85.296674275,"(35.0814264470001, -85.296674275)"
LADIES PARADISE,11/06/2000,CHATTANOOGA,TN,,SHALLOWFORD,6910,RD,37421,,1 - New Business,35.0442238200001,-85.1616717919999,"(35.0442238200001, -85.1616717919999)"
LAMARS RESTAURANT,01/20/1984,CHATTANOOGA,TN,E,MARTIN LUTHER KING,1020,BLVD,37403,,1 - New Business,,,
"IN & OUT MAINTENANCE SERVICES, LLC",11/14/2011,LOGANVILLE,GA,,HAMPTON PLACE,7722,,30052,,1 - New Business,,,
RACEWAY 6843,10/21/2010,CHATTANOOGA,TN,,SIGNAL MTN,405,RD,37405,,1 - New Business,35.0885591090001,-85.330667206,"(35.0885591090001, -85.330667206)"
TWICE IS NICE BOUTIQUE,02/01/2016,CHATTANOOGA,TN,,HIXSON,4107,PIKE,37415,,1 - New Business,35.1149204540001,-85.256488486,"(35.1149204540001, -85.256488486)"
STEELE CONSTRUCTION,09/01/2011,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
RIVER CITY AUTO LLC,01/18/2012,CHATTANOOGA,TN,,CHAPMAN,2179,RD,37421,,1 - New Business,35.0608405310001,-85.188211238,"(35.0608405310001, -85.188211238)"
MAYA'S AUTO REPAIR,04/02/2003,CHATTANOOGA,TN,E,MAIN,2207,ST,37404,,1 - New Business,,,
CHATTANOOGA PUBLIC MARKET,04/27/2008,CHATTANOOGA,TN,,CARTER,1826,ST,37402,,1 - New Business,,,
CHICKEN TO GO INC,06/19/2013,CHATTANOOGA,TN,,GROVE,1221,ST,37402,,1 - New Business,35.0439060080001,-85.318583695,"(35.0439060080001, -85.318583695)"
PEACHTREE WOODWORKS,01/01/2012,CHATTANOOGA,TN,,HIXSON,1402,PIKE,37405,,1 - New Business,35.0733501500001,-85.288280054,"(35.0733501500001, -85.288280054)"
LONEWOLF TRANSPORT,05/16/2011,CHATTANOOGA,TN,,DAYLONG,1830,PL,37421,,1 - New Business,35.0365866280001,-85.1877681939999,"(35.0365866280001, -85.1877681939999)"
TOBACCO BEVERAGE OUTLET,09/09/2009,CHATTANOOGA,TN,,HIXSON,3600,PIKE,37415,,1 - New Business,35.10721499,-85.271695625,"(35.10721499, -85.271695625)"
MONTARA NORTH AMERICA CORPORATION,03/25/2011,CHATTANOOGA,TN,,PILOT POINT,3737,,37416,,1 - New Business,35.0735729410001,-85.1927970099999,"(35.0735729410001, -85.1927970099999)"
COMPUTER X-CELL,08/19/1998,CHATTANOOGA,TN,,POLK,5237,ST,37410,,1 - New Business,,,
JERRY NELSON ELECTRIC,,CHATTANOOGA,TN,,VARIOUS LOCATIONS,,,37402,,1 - New Business,,,
LORI'S GIFTS #284,08/30/2007,HIXSON,TN,,HAMILL,2051,RD,37343,,1 - New Business,35.1244775850001,-85.238118909,"(35.1244775850001, -85.238118909)"
UNOSANO LLC,01/11/2011,CHATTANOOGA,TN,,PINEVILLE,1175,RD,37405,,1 - New Business,35.0759498530001,-85.3308896,"(35.0759498530001, -85.3308896)"
DMK CONSTRUCTION,11/15/2014,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,DR,37402,,1 - New Business,,,
CABEEN ORIGINALS LLC,06/19/2008,CHATTANOOGA,TN,,THORNTON,206,AVE,37411,,1 - New Business,35.014383556,-85.240228304,"(35.014383556, -85.240228304)"
PEPPERS CONSTRUCTION,10/01/2012,CHATTANOOGA,TN,,SIGNAL MOUNTAIN,243,RD,37405-1955,,1 - New Business,35.0864439480001,-85.3264398749999,"(35.0864439480001, -85.3264398749999)"
EATON MCCASKILL ELECTRICAL CONTRACTORS INC,11/02/2009,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
BENTCO OFFICE SOLUTIONS LLC,01/01/2008,CHATTANOOGA,TN,,STUART,1501,ST,37406,,1 - New Business,35.0754193810001,-85.2592455779999,"(35.0754193810001, -85.2592455779999)"
MAPCO MART #3691,04/01/2007,CHATTANOOGA,TN,E,BRAINERD,8126,RD,37421-8316,,1 - New Business,,,
"ALL SOURCE GLOBAL ENTERPRISE , LLC",10/23/2012,CHATTANOOGA,TN,,ATKINS,1512,DR,37411,,1 - New Business,,,
KENNETH G WAY & COMPANY INC,07/15/1996,CHATTANOOGA,TN,,LEGENDS WAY,7735,,37421,,1 - New Business,35.0238264660001,-85.1455855629999,"(35.0238264660001, -85.1455855629999)"
PIONEER BANK BUILDING BARBER SHOP,03/20/2012,CHATTANOOGA,TN,,CHESTNUT,800,ST,37402,,1 - New Business,35.0467765540001,-85.311414565,"(35.0467765540001, -85.311414565)"
KUKA SYSTEMS CORPORATION NORTH AMERICA,01/26/2010,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
PROFESSIONAL PLUMBING CO,03/05/1999,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
